# Windows Version: 10.0.14393.206 (rs1_release.160915-0644)
# CPU: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz
# Memory: 15.89 GB
# Windows VM Version: 14393.206
# Linux Total Memory: 4GB
# Linux CPUs: 2
#
# Index 0: BW: Transmit from VM blocking (bulk recv())
# 8: send() Error: 10054
8 28.6 28 29 29
# 128: Two connect() Error: 10060
128 506.5 0 539 0 474
# 512: Two connect() Error: 10060
512 1651.5 1634 0 1669 0
1024 2778.5 2795 2821 2622 2876
# 1518: Two connect() Error: 10060
1518 3751 0 3959 0 3543
2048 4187.5 4537 3855 4103 4255
# 3072: connect() Error: 10060
3072 4923.0 5221 4810 4738 0
4096 4351.25 4441 4380 4230 4354
5120 4611 4744 5111 4454 4135
8192 5626.5 5572 5855 5631 5448
9018 5980.75 5865 6494 5706 5858
16384 6210.25 6408 6357 5927 6149


# Index 1: BW: Transmit from VM poll send() (bulk recv())
8 29.25 26 30 30 31
# 128: send() Error: 10054
128 500.6 439 0 513 550
512 1598.25 1574 1678 1526 1615
# 1024: Two connect() Error: 10060
1024 2881 2873 0 2891 0
1518 3551.5 3643 3372 3568 3623
# 2048 Two connect() Error: 10060
2048 3994 3905 0 4083 0
# 3072: connect() Error: 10060
3072 4564.6 4513 0 4546 4635
# 4096: connect() Error: 10060
4096 4762 0 5033 4794 4459
5120 4543 4636 4251 4971 4314
8192 5836.5 5713 5961 6029 5643
9018 5841.25 5783 5423 6527 5632
# 16384: connect() Error: 10060
16384 6635 6653 6365 0 6887


# Index 2: BW: Transmit from VM poll recv() (bulk recv())
# 8: connect() Error: 10060
8 29.6 27 0 31 31
# 128: Two connect() Error: 10060
128 526 0 489 0 563
# 512: Two connect() Error: 10060
512 1964.5 0 1970 1959 0
# 1025: connect() Error: 10060
1024 3252.3 3098 0 3570 3089
1518 4200.25 4144 4414 4319 3924
# 2048: connect() Error: 10060
2048 4791.3 5384 4752 4238 0
# 3072 connect() Error: 10060
3072 5981.3 5920 5957 0 6067
# 4096: connect() Error: 10060
4096 5422.6 4920 0 5655 5693
# 5120: connect() Error: 10060
5120 5422.6 5598 5210 0 5512
# 8192: Two connect() Error: 10060
8192 6508.5 6471 0 6546 0
9018 6764.75 6450 6737 7082 6790
# 16384: connect() Error: 10060
16384 7526.6 6179 0 8323 8078


# Index 3: BW: Transmit from VM poll both (bulk recv())
# 8: send() Error: 10054
8 30 29 30 0 31
# 128: send() Error: 10054
# 128: connect() Error: 10060
128 515.5 0 554 0 477
# 512: connect() Error: 10060
512 2013.6 2010 2020 2011 0
# 1024: connect() Error: 10060
1024 3079.0 2338 3330 0 3569
# 1518: Two connect() Error: 10060
1518 3946 4485 0 3407 0
# 2048: connect() Error: 10060
2048 4373 5270 3523 0 4326
# 3072: connect() Error: 10060
3072 5646.6 6551 5421 0 4968
4096 5737.5 6248 5961 6320 4421
# 5120: Two connect() Error: 10060
5120 5761 0 5496 0 6026
8192 6596.5 6880 6854 6897 5755
9018 7036 7270 7248 7292 6334
16384 7783 8103 8497 7967 6565


# Index 4: BW: Transmit to VM blocking (bulk recv())
# 8: Two send() Error: 10054
8 24 23 0 25 0
128 459.5 418 483 417 520
512 1208.25 1225 1201 1193 1214
1024 1923.5 1911 1958 1942 1883
1518 2283.75 2332 2345 2258 2200
2048 2509.5 2593 2560 2396 2489
3072 3036.25 3027 3050 3028 3040
4096 2719.25 2759 2683 2746 2689
5120 2402.5 2478 2467 2569 2096
8192 3010 2958 3066 2981 3035
# 9018: Two hangs
9018 3298 3310 3286 0 0
16384 3232.25 3228 3255 3214 3232


# Index 5: BW: Transmit to VM poll send() (bulk recv())
# 8: Two send() Error: 10054
8 23 23 0 23 0
128 449.75 413 459 397 530
512 1168.5 1166 1169 1178 1161
1024 1836.25 1830 1792 1862 1861
1518 2238.5 2294 2243 2249 2168
2048 2462.5 2517 2493 2408 2432
3072 2873.5 2900 2849 2891 2854
# 4096: send() Error: 10054
4096 2552.3 0 2601 2542 2514
5120 2444 2485 2486 2440 2365
8192 2861 2790 2901 2843 2910
# 9018: Two stuck connections send() Error: 10054
9018 3006 0 2857 0 3155
16384 3201.5 3217 3181 3201 3207


# Index 6: BW: Transmit to VM poll recv() (bulk recv())
# 8: send() Error: 10054
8 24.5 24 0 25 0
128 522.5 588 465 580 457
512 1719.75 1728 1699 1782 1670
1024 3048.75 3090 2995 3017 3093
1518 3746.25 3788 3773 3761 3663
2048 3672.5 3690 3655 3744 3601
3072 4086.25 4190 3939 4094 4122
4096 3988.25 4046 3935 4130 3842
5120 3993 3900 4151 4044 3877
8192 4320.75 4394 4248 4294 4347
9018 4665.25 4715 4584 4606 4756
16384 4518 4605 4626 4469 4372


# Index 7: BW: Transmit to VM poll both (bulk recv())
# 8: Two send() Error: 10054
8 23.5 23 0 24 0
128 501.5 450 536 463 557
512 1739.25 1646 1807 1749 1755
1024 3006.5 2964 3027 3027 3008
1518 3621.75 3577 3576 3737 3597
2048 3519.75 3596 3459 3614 3410
3072 4090.25 4078 4040 4159 4084
4096 4043.5 4081 3894 4157 4042
5120 3924.25 3837 3951 3979 3930
8192 4269.25 4004 4290 4437 4346
9018 4767.25 4770 4757 4696 4846
16384 4309.25 4201 4379 4503 4154
