# Windows Version: 10.0.14393.206 (rs1_release.160915-0644)
# CPU: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz
# Memory: 15.89 GB
# Linux Kernel Version: 4.4.30-moby
# Linux Total Memory: 1.918 GiB
# Linux CPUs: 2
#
# Index 0: BW: Transmit from VM blocking (msg recv())
8 29.5 29 29 30 30
128 388.75 388 465 356 346
512 662 561 680 806 601
1024 675 722 788 522 668
1518 956.25 790 731 1115 1189
2048 589.75 573 677 549 560
3072 943.5 911 847 1183 833
4096 1221.75 1014 1421 1014 1438
5120 1231.5 1282 1301 1036 1307
8192 1197.75 1114 1516 1014 1147
9018 1171.25 924 1398 1373 990
16384 1016 1045 982 1004 1033


# Index 1: BW: Transmit from VM poll() Linux (msg recv())
8 28.75 28 29 29 29
128 398 375 448 434 335
512 533.5 560 530 531 513
1024 594.25 536 753 554 534
1518 880.5 778 848 1023 873
2048 601 553 544 766 541
3072 1071.5 1096 1183 825 1182
4096 1053.5 1338 955 960 961
5120 1143.5 890 1257 1188 1239
8192 1284 1429 1040 1360 1307
9018 1166.5 1327 1331 955 1053
16384 1292.25 1374 1035 1437 1323


# Index 2: BW: Transmit from VM poll() Windows (msg recv())
8 33.75 33 34 33 35
128 557.25 542 587 534 566
512 730.75 795 547 790 791
1024 571.25 586 562 564 573
1518 1149.5 1183 1126 1109 1180
2048 743.75 816 837 760 562
3072 917.25 824 873 843 1129
4096 1239.75 1446 1489 1041 983
5120 1135.25 1311 970 1352 908
8192 1186 1078 1035 1525 1106
9018 1266.75 950 1382 1363 1372
16384 1168.25 1036 1040 1066 1531


# Index 3: BW: Transmit from VM poll() both (msg recv())
8 35.75 36 37 36 34
128 512.75 557 580 343 571
512 637 549 762 711 526
1024 686.75 755 746 498 748
1518 878.25 826 1141 724 822
2048 631.75 581 602 797 547
3072 824.5 809 899 803 787
4096 1231.5 1014 1433 1074 1405
5120 1010.75 1180 863 1084 916
8192 1028.25 1098 1008 1024 983
9018 1097.75 876 1228 945 1342
16384 1244 1446 1036 1411 1083


# Index 4: BW: Transmit from VM blocking (bulk recv())
8 35.25 36 37 34 34
128 269.75 291 262 273 253
512 657.5 773 684 805 368
1024 663.25 732 592 781 548
1518 816.75 954 1057 561 695
2048 491 412 407 422 723
3072 959.25 1071 1072 600 1094
4096 879.5 883 1174 725 736
5120 783.25 1201 642 683 607
8192 1000.25 766 743 1214 1278
9018 849.25 1198 784 701 714
16384 1019.5 720 1310 1316 732


# Index 5: BW: Transmit from VM poll() Linux (bulk recv())
8 35 33 36 38 33
128 519.25 560 545 417 555
512 530.75 655 723 386 359
1024 609.75 691 374 644 730
1518 658 569 929 568 566
2048 402.75 399 394 432 386
3072 734.5 1052 587 574 725
4096 942 1165 726 751 1126
5120 730.75 635 647 666 975
8192 1092.75 1174 1233 1118 846
9018 963.75 1208 697 767 1183
16384 1016.75 1330 710 744 1283


# Index 6: BW: Transmit from VM poll() Windows (bulk recv())
8 34.5 35 35 34 34
128 460.75 417 535 371 520
512 537.5 538 509 531 572
1024 641.25 548 616 807 594
1518 866.5 903 970 767 826
2048 699.25 601 599 766 831
3072 890 917 897 905 841
4096 1234.5 1467 1060 1043 1368
5120 1121.5 947 1331 1315 893
8192 1152.5 1499 1078 1041 992
9018 1172 947 1373 1400 968
16384 1178.75 1100 1047 1095 1473


# Index 7: BW: Transmit from VM poll() both (bulk recv())
8 34 32 35 34 35
128 379.75 355 359 481 324
512 597.5 533 511 573 773
1024 585.5 547 733 513 549
1518 950.5 1127 821 1053 801
2048 616.5 585 626 530 725
3072 913.25 834 837 858 1124
4096 1295.25 968 1436 1389 1388
5120 1076.25 1178 1282 937 908
8192 1129.5 1051 1009 1420 1038
9018 1189 1311 1258 920 1267
16384 1275.75 1423 1006 1376 1298
